Date,Open,High,Low,Close,Adj Close,Volume
2016-07-01,114.199997,128.330002,112.970001,123.940002,123.940002,470108600
2016-08-01,123.849998,126.730003,122.070000,126.120003,126.120003,365670900
2016-09-01,126.379997,131.979996,125.599998,128.270004,128.270004,376518100
2016-10-01,128.380005,133.500000,126.750000,130.990005,130.990005,313284400
2016-11-01,131.410004,131.940002,113.550003,118.419998,118.419998,644052900
2016-12-01,118.379997,122.500000,114.000000,115.050003,115.050003,408728400
2017-01-01,116.029999,133.139999,115.510002,130.320007,130.320007,378940100
2017-02-01,132.250000,137.179993,130.300003,135.539993,135.539993,384700500
2017-03-01,136.470001,142.949997,136.080002,142.050003,142.050003,342098600
2017-04-01,141.929993,151.529999,138.809998,150.250000,150.250000,275586300
2017-05-01,151.740005,153.600006,144.419998,151.460007,151.460007,403586900
2017-06-01,151.750000,154.729996,150.300003,154.710007,154.710007,87148900
2017-06-12,147.970001,149.195007,144.559998,147.929993,147.929993,21322268
